City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
289,San Buenaventura,MX,27.0833,-101.5333,85.48,50,98,17.92,overcast clouds,Hotel Gran Plaza
292,Waspan,NI,14.7419,-83.9717,74.43,97,100,2.71,overcast clouds,Hostal casa de la rose
293,Victoria,HK,22.2855,114.1577,78.94,95,98,1.01,heavy intensity rain,Mini Central
297,Tura,IN,25.5198,90.2201,84.54,68,22,5.08,few clouds,Hotel RIKMAN Continental
298,Krasnoarmeysk,RU,51.0239,45.6969,69.37,74,6,11.63,clear sky,"Hotel ""Your home-Balzer"""
300,Maragogi,BR,-9.0122,-35.2225,72.55,85,0,4.74,clear sky,Salinas do Maragogi All Inclusive Resort
301,Sabha,LY,27.0377,14.4283,80.38,27,0,11.03,clear sky,محطة ام الارانب -سبها مواصلات
303,Belyy Yar,RU,53.6039,91.3903,73.85,60,0,4.47,clear sky,Pasportnyy Stol
304,Zyryanovsk,KZ,49.7386,84.2719,76.17,38,48,1.74,scattered clouds,Гостиница «ЭВЕРЕСТ»
306,Lorengau,PG,-2.0226,147.2712,81.88,77,100,2.59,overcast clouds,Lorengau Harbourside Hotel
307,San Ramon,US,37.7799,-121.978,69.39,74,0,12.66,clear sky,San Ramon Marriott
309,Fomboni,KM,-12.28,43.7425,76.3,67,29,17.22,scattered clouds,Auberge les abou
311,Port Blair,IN,11.6667,92.75,82.44,78,40,11.5,scattered clouds,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
312,Kokoda,PG,-8.8785,147.7407,79.14,90,100,3.78,overcast clouds,Daito Guest House
314,Kamalganj,IN,27.2667,79.65,88.43,60,23,19.3,few clouds,Maa Ganga Tent Hause
315,Kita,ML,13.0349,-9.4895,73.58,95,98,3.6,overcast clouds,Hôtel Chat Rouge
316,Toktogul,KG,41.8708,72.9402,74.53,44,0,1.88,clear sky,KAGAN
317,Oussouye,SN,12.485,-16.5469,80.69,85,100,7.0,light rain,Auberge du Routard
318,Ha Giang,VN,22.8333,104.9833,85.42,81,66,3.04,broken clouds,Truong Xuan Resort
319,Panlaitan,PH,12.1191,119.8486,84.22,70,34,4.59,scattered clouds,SOUTH BEACH
321,Pringsewu,ID,-5.3582,104.9744,88.12,60,20,2.98,few clouds,Urban Style by Front One
322,Srivardhan,IN,18.0333,73.0167,80.82,85,83,21.63,broken clouds,Savli Resort/Hotel - Shrivardhan
325,Muros,ES,42.7762,-9.0603,61.09,94,0,2.73,clear sky,Apartment Av. Castelao
326,Komatipoort,ZA,-25.4332,31.9548,62.71,61,0,4.76,clear sky,Kruger View Backpackers
327,Shahrud,IR,36.4182,54.9763,73.63,17,0,3.67,clear sky,Royal Hotel
328,Bilibino,RU,68.0546,166.4372,64.35,67,96,5.84,light rain,Gostinitsa Severyanka
329,Bida,NG,9.0833,6.0167,72.25,97,100,1.68,overcast clouds,Royal Suite
331,Butaritari,KI,3.0707,172.7902,82.49,75,17,14.74,few clouds,Isles Sunset Lodge
332,Smithers,CA,54.7804,-127.1743,79.12,44,20,4.61,few clouds,"Prestige Hudson Bay Lodge, Premier Collection"
337,Margate,GB,51.3813,1.3862,69.31,93,16,3.0,few clouds,Premier Inn Margate hotel
339,Sankanan,PH,8.3156,124.8581,75.13,65,42,3.15,scattered clouds,Soviana Guest House
340,Saint-Remi,CA,45.2668,-73.6159,64.35,75,3,2.3,clear sky,Golden Triangle Golf Course
341,Gusinoye Ozero,RU,51.1144,106.2614,73.15,46,35,3.74,scattered clouds,Gusi-Lebedi Baza Otdykha
344,Katherine,AU,-14.4667,132.2667,88.12,40,40,9.22,scattered clouds,Pine Tree Motel
345,Half Moon Bay,US,37.4636,-122.4286,68.79,80,75,25.32,broken clouds,"The Ritz-Carlton, Half Moon Bay"
346,Yalvac,TR,38.2956,31.1778,63.37,72,0,4.03,clear sky,Yalvac Ogretmenevi
347,Santa Leopoldina,BR,-20.1006,-40.5297,69.62,87,88,4.09,overcast clouds,Pousada e padaria central
349,Buta,CD,2.7858,24.73,69.64,99,100,3.0,light rain,Hôtel BOPANDO
350,Lakes Entrance,AU,-37.8811,147.981,63.16,63,76,7.36,broken clouds,The Esplanade Resort & Spa
351,Harper,LR,4.375,-7.7169,75.06,82,100,10.67,overcast clouds,Screensaver
352,Bonthe,SL,7.5264,-12.505,75.4,89,91,8.12,moderate rain,Bonthe Holiday Village
354,Ballina,AU,-28.8667,153.5667,69.01,72,100,11.48,overcast clouds,Ramada Hotel & Suites by Wyndham Ballina Byron
356,Santa Lucia,ES,27.9117,-15.5407,63.72,73,20,14.97,few clouds,Las Tirajanas
359,Nargana,PA,9.4428,-78.5906,78.51,87,100,8.55,overcast clouds,Dubbir
362,Deniliquin,AU,-35.5333,144.9667,61.88,47,86,13.8,overcast clouds,Riviana Motel
363,Pitimbu,BR,-7.4706,-34.8086,72.19,83,7,3.8,clear sky,Reserva do Abiaí
364,Sambava,MG,-14.2667,50.1667,68.94,84,99,12.15,light rain,Melrose
365,Yulara,AU,-25.2406,130.9889,62.22,26,0,13.15,clear sky,Desert Gardens Hotel - Ayers Rock Resort
366,Geraldton,AU,-28.7667,114.6,64.81,48,0,23.02,clear sky,Broadwater Mariner Resort
368,Winnemucca,US,40.973,-117.7357,82.45,34,0,4.61,clear sky,Winners Inn Casino
369,Mahibadhoo,MV,3.7833,72.9667,81.37,78,90,2.95,overcast clouds,Omadhoo Inn
370,Iwanai,JP,42.9744,140.5089,80.53,71,19,7.67,few clouds,いわない高原ホテル
371,Yamada,JP,39.4667,141.95,83.93,64,100,9.4,light rain,Iroha-ya Inn
372,Roxana,CR,10.2753,-83.7513,77.04,98,100,2.46,overcast clouds,3BYES1
373,Osmena,PH,10.5208,119.9258,84.09,70,33,2.55,light rain,Arjemarkyza Lodge
374,Akyab,MM,20.15,92.9,81.86,82,94,8.1,overcast clouds,ဟိုတယ် မန်မိုရီ
375,Vilyuysk,RU,63.7553,121.6247,62.74,60,100,5.39,overcast clouds,Gostinitsa Viliuisk
376,Kendari,ID,-3.945,122.4989,84.42,70,70,7.07,broken clouds,Hotel Wixel
377,Hay River,CA,60.8156,-115.7999,60.78,63,40,5.75,scattered clouds,Ptarmigan Inn
378,Vangaindrano,MG,-23.35,47.6,65.71,85,97,3.69,light rain,Hotel Fanilo
379,Gigmoto,PH,13.7796,124.39,85.51,74,83,4.03,broken clouds,Cj's Travellers Inn
381,Semnan,IR,35.5729,53.3971,78.01,24,0,2.13,clear sky,Semnan Tourist Hotel
382,Fukue,JP,32.6881,128.8419,86.36,79,75,9.22,moderate rain,Goto Guesthouse Utojuku & SA Car Rental
383,Pangai,TO,-19.8,-174.35,80.71,65,40,8.05,scattered clouds,Ha'apai Beach Resort
385,Sabang,ID,5.8933,95.3214,82.58,72,88,14.32,overcast clouds,Hotel Citra
387,Saint-Leu,RE,-21.15,55.2833,67.32,65,9,2.39,clear sky,La Caz Oceane
389,Lisala,CD,2.15,21.5167,69.96,98,100,1.7,light rain,Guest house Eden
390,Tomari,RU,47.7658,142.0683,70.5,85,78,8.46,broken clouds,Vostochnaya
391,Angoche,MZ,-16.2325,39.9086,66.78,87,0,3.49,clear sky,Guest House HESADA
392,Road Town,VG,18.4167,-64.6167,81.45,75,95,18.57,overcast clouds,"ZINGARA 76ft Catamaran, full crew-all included"
393,Ketchikan,US,55.3422,-131.6461,63.07,77,0,10.36,clear sky,Snow's Cove Lodge
394,Hualmay,PE,-11.0964,-77.6139,61.45,83,39,10.09,scattered clouds,Hotel Villa Kitzia Huacho
395,Wajima,JP,37.4,136.9,84.88,78,75,10.36,broken clouds,Wajiima Onsen Yashio
397,Kokopo,PG,-4.352,152.2633,82.72,70,68,6.51,light rain,Kokopo Beach Bungalow Resort
400,Bengkulu,ID,-3.8004,102.2655,83.07,74,73,4.41,broken clouds,Grage Hotel Bengkulu
402,Pitsunda,GE,43.1592,40.3378,77.18,81,28,6.87,scattered clouds,Hotel FREEDOM
403,Kaohsiung,TW,22.6163,120.3133,89.69,67,75,8.05,broken clouds,御宿商旅-中山館
405,Odweyne,SO,9.4092,45.064,68.79,69,98,21.3,overcast clouds,Eng Hiirey House
406,Bogdanovich,RU,56.7803,62.0494,61.2,66,43,13.76,scattered clouds,"Pervomayskaya, Gostinitsa"
407,Veraval,IN,20.9,70.3667,80.98,90,98,26.62,overcast clouds,Lords Inn Somnath
412,Havelock,US,34.8791,-76.9013,84.18,82,40,9.22,scattered clouds,Sherwood Motel
413,Harqalah,TN,36.0303,10.509,80.46,73,40,6.91,scattered clouds,Dar Khadija
414,Broome,US,42.2506,-75.833,63.37,91,0,2.35,clear sky,Chenango Valley State Park
415,Suhbaatar,MN,50.2314,106.2078,67.01,61,84,2.57,broken clouds,Hotel Nine
